,,,,,,,,,,,,,
,,,Testing Accuracy,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Iterations,Epochs,entropy,GEL,GLL,hinge,largemargin,lee,surrogate expo,surrogate hinge,surrogate hinge squares,surrogate logistic,surrogate suares
,0,0,"0,1107594937","0,0903876582","0,097409019","0,1032436709","0,0993868671","0,0992879747","0,0977056962","0,1073971519","0,0997824367","0,1000791139","0,1064082278"
,1000,2,"0,4823971519","0,4804193038","0,4805181962","0,4819026899","0,4759691456","0,4350276899","0,4970332278","0,3959651899","0,5035601266","0,4580696203","0,4942642405"
,2000,5,"0,5471716772","0,5539952532","0,5589398734","0,5548852848","0,5633900316","0,5092958861","0,550534019","0,4545094937","0,5714003165","0,5259098101","0,562994462"
,3000,7,"0,5870253165","0,5982990506","0,5997824367","0,5959256329","0,6075949367","0,542227057","0,5807950949","0,4930775316","0,6021558544","0,5529074367","0,5975079114"
,4000,10,"0,6152096519","0,6188686709","0,6202531646","0,6192642405","0,6311313291","0,5635878165","0,6053204114","0,5290743671","0,6275712025","0,5752571203","0,6195609177"
,5000,12,"0,6368670886","0,6377571203","0,6362737342","0,6428006329","0,6497231013","0,594244462","0,6120450949","0,5565664557","0,6418117089","0,5972112342","0,6393393987"
,6000,15,"0,6502175633","0,6555577532","0,6502175633","0,6581289557","0,6649525316","0,6163963608","0,6321202532","0,5794106013","0,6528876582","0,6121439873","0,648931962"
,7000,17,"0,6626780063","0,6688093354","0,6647547468","0,6766218354","0,6794897152","0,6337025316","0,6380537975","0,6018591772","0,6630735759","0,6249011076","0,6560522152"
,8000,20,"0,6725672468","0,6821598101","0,6800830696","0,691159019","0,6930379747","0,6509098101","0,6477452532","0,6215387658","0,6758306962","0,6358781646","0,6675237342"
,9000,23,"0,6845332278","0,6927412975","0,6946202532","0,7012460443","0,7068829114","0,6633702532","0,6517998418","0,640130538","0,6845332278","0,6432950949","0,6759295886"
,10000,25,"0,6955102848","0,7027294304","0,7021360759","0,7103441456","0,7163765823","0,6722705696","0,6338014241","0,6526898734","0,6913568038","0,6512064873","0,6831487342"
,11000,28,"0,7053006329","0,707772943","0,7121242089","0,7196400316","0,722409019","0,6793908228","0,6331091772","0,6624802215","0,6964992089","0,6564477848","0,6913568038"
,12000,30,"0,7133109177","0,7152887658","0,7207278481","0,7287381329","0,7292325949","0,6864121835","0,6568433544","0,6726661392","0,7060917722",,"0,7012460443"
,13000,33,"0,7203322785","0,722903481","0,7268591772","0,7354628165","0,7335838608","0,6926424051","0,6692049051","0,6803797468","0,7126186709",,"0,7053995253"
,14000,35,"0,7268591772","0,7283425633","0,7322982595","0,7400118671","0,7383306962","0,698971519","0,6630735759","0,6892800633","0,7196400316",,"0,7088607595"
,15000,38,"0,7329905063","0,7335838608","0,7374406646","0,7438686709","0,7440664557","0,7035205696","0,6763251582","0,695806962","0,7238924051",,"0,7172666139"
,16000,40,"0,7378362342","0,7381329114","0,7413963608","0,7501977848","0,750494462","0,7073773734","0,6788963608","0,7003560127","0,7287381329",,"0,7239912975"
