Iterations,Epochs,Entropy,Surrogate squares,M-SVM Crammer,GLL,GEL,Surrogate hinge squares,Surrogate exponential,M-SVM Lee,M-SVM Weston,Surrogate hinge,Large-margin entropy
0,0,"0,1005735759","0,1121439873","0,1189675633","0,0968156646","0,0902887658","0,0993868671","0,1079905063","0,0949367089","0,1096716772","0,1037381329","0,1005735759"
1000,2,"0,6467563291","0,5926621835","0,1000791139","0,6413172468","0,5803006329","0,6019580696","0,5687302215","0,5780261076","0,6348892405","0,5580498418","0,6067049051"
2000,5,"0,7103441456","0,6483386076","0,1008702532","0,7096518987","0,6510087025","0,6632713608","0,6202531646","0,6680181962","0,7047072785","0,6690071203","0,6719738924"
3000,7,"0,7365506329","0,6790941456","0,1060126582","0,7384295886","0,6840387658","0,6891811709","0,6153085443","0,6990704114","0,7321004747","0,7107397152","0,7119264241"
4000,10,"0,7545490506","0,7049050633","0,1089794304","0,7549446203","0,7073773734","0,7073773734","0,5178006329","0,714102057","0,7487143987","0,7336827532","0,7369462025"
5000,12,"0,7654272152","0,7166732595","0,1053204114","0,7678995253","0,7273536392","0,7210245253","0,4557950949","0,7249802215","0,7603837025","0,7441653481","0,7545490506"
6000,15,"0,7710640823","0,7279469937","0,1189675633","0,7768987342","0,7394185127","0,7298259494","0,4558939873","0,7325949367","0,7677017405","0,7539556962","0,7677017405"
7000,17,"0,7796677215","0,7328916139","0,1247033228","0,784909019","0,7473299051","0,7334849684","0,5149327532","0,7399129747","0,7767009494","0,7617681962","0,7749208861"
8000,20,"0,7857001582","0,7442642405","0,1308346519","0,7924248418","0,7556368671","0,7406052215","0,6216376582","0,7460443038","0,7822389241","0,7686906646","0,7787776899"
9000,23,"0,792721519","0,7479232595","0,1342958861","0,7980617089","0,7613726266","0,7489121835","0,5538963608","0,7515822785","0,785897943","0,7710640823","0,7857001582"
10000,25,"0,7936115506","0,7525712025","0,1349881329","0,8020174051","0,7682950949","0,7518789557","0,5988924051","0,7515822785","0,7872824367","0,7753164557","0,7908425633"
11000,28,"0,7981606013","0,7557357595","0,1432950949","0,8056764241","0,7575158228","0,7570213608","0,495352057","0,7552412975","0,7934137658","0,7814477848","0,7916337025"
12000,30,"0,8032041139","0,7623615506","0,1474485759","0,8096321203","0,7678006329","0,7594936709","0,4837816456","0,7579113924","0,7966772152","0,7822389241","0,7965783228"
13000,33,"0,8048852848","0,7650316456","0,1518987342","0,8098299051","0,7769976266","0,762460443","0,5219541139","0,7582080696","0,7998417722","0,7846123418","0,8007318038"
14000,35,"0,8052808544","0,7660205696","0,1466574367","0,8128955696","0,7831289557","0,7669106013","0,5660601266","0,7628560127","0,7986550633","0,7882713608","0,8045886076"
15000,38,"0,8055775316","0,7698773734","0,15625","0,8125","0,7842167722","0,7689873418","0,6376582278","0,7604825949","0,8058742089","0,7904469937","0,8067642405"
16000,40,"0,8057753165","0,772943038","0,1578322785","0,8127966772","0,7877768987","0,7703718354","0,6174841772","0,761965981","0,8074564873","0,7943037975","0,8081487342"
17000,43,"0,8098299051","0,7762064873","0,1578322785","0,8155656646","0,793710443","0,7712618671","0,6385482595","0,7635482595","0,8067642405","0,7951938291","0,8110166139"
18000,46,"0,8137856013","0,7769976266","0,1596123418","0,8175435127","0,7946993671","0,7750197785","0,6041337025","0,7639438291","0,8075553797","0,7971716772","0,8134889241"
19000,48,"0,8162579114","0,7789754747","0,1576344937","0,8167523734","0,7961827532","0,7756131329","0,5824762658","0,7644382911","0,808346519","0,8003362342","0,8186313291"
20000,51,"0,8165545886","0,7813488924","0,1605023734","0,817147943","0,7982594937","0,7776898734","0,5984968354","0,7642405063","0,8085443038","0,8011273734","0,8195213608"
21000,53,"0,8185324367","0,7825356013","0,1634691456","0,8203125","0,8012262658","0,7811511076","0,5288765823","0,7655261076","0,8084454114","0,8035996835","0,8214003165"
22000,56,"0,8186313291","0,7832278481","0,1612935127","0,8222903481","0,8020174051","0,7810522152","0,4861550633","0,7659216772","0,8094343354","0,8044897152","0,8213014241"
23000,58,"0,8178401899","0,7840189873","0,1636669304","0,8232792722","0,8025118671","0,7825356013","0,4698378165","0,7678995253","0,8118077532","0,8039952532","0,8205102848"
24000,61,"0,8206091772","0,7846123418","0,1566455696","0,824960443","0,8024129747","0,785403481","0,4181170886","0,7690862342","0,8118077532","0,8044897152","0,8210047468"
25000,64,"0,8218947785","0,785897943","0,1556566456","0,8250593354","0,8046875","0,7841178797","0,4405656646","0,7682950949","0,8126977848","0,8067642405","0,8223892405"
26000,66,"0,8229825949","0,788568038","0,1547666139","0,8231803797","0,807852057","0,7846123418","0,4725079114","0,7676028481","0,8119066456","0,8070609177","0,8227848101"
27000,69,"0,8229825949","0,7886669304","0,1536787975","0,8230814873","0,807852057","0,7857001582","0,425039557","0,7675039557","0,8130933544","0,8084454114","0,8224881329"
