Iterations,entropy,hinge,crammer,lee,GLL,GEL,surrogate_double_hinge,surrogate_hinge_squares,surrogate_logistic,surrogate_sigmoid,surrogate_squares,surrogate_exponential
0,0.28,0.0625,0.1875,0.25,0.28125,0.15625,0.28125,0.09375,0.21875,0.125,0.1875,0.125
1000,0.5775,0.40625,0.546875,0.46875,0.5625,0.484375,0.234375,0.5,0.453125,0.109375,0.5,0.265625
2000,0.6975,0.5416666667,0.6666666667,0.5729166667,0.65625,0.6145833333,0.21875,0.625,0.53125,0.1354166667,0.625,0.3854166667
3000,0.7028125,0.609375,0.7421875,0.625,0.7109375,0.671875,0.1953125,0.6875,0.6015625,0.140625,0.65625,0.453125
4000,0.73725,0.66875,0.76875,0.65625,0.74375,0.70625,0.2375,0.725,0.6125,0.1625,0.69375,0.5375
5000,0.7654166667,0.6875,0.7760416667,0.6875,0.7708333333,0.7291666667,0.2291666667,0.734375,0.6354166667,0.1614583333,0.71875,0.578125
6000,0.7944642857,0.7053571429,0.7901785714,0.7098214286,0.78125,0.7544642857,0.2276785714,0.7366071429,0.6696428571,0.1517857143,0.7276785714,0.59375
7000,0.81625,0.73046875,0.796875,0.72265625,0.80078125,0.76953125,0.2265625,0.7578125,0.69140625,0.14453125,0.7578125,0.61328125
8000,0.82625,0.7256944444,0.8125,0.7361111111,0.8020833333,0.78125,0.21875,0.7743055556,0.7013888889,0.1493055556,0.7743055556,0.625
9000,0.83425,0.7375,0.821875,0.740625,0.8125,0.784375,0.21875,0.778125,0.71875,0.15,0.790625,0.6375
10000,0.8322727273,0.7443181818,0.8210227273,0.7613636364,0.8125,0.7869318182,0.21875,0.7840909091,0.7244318182,0.1619318182,0.7897727273,0.6505681818
11000,0.8384375,0.7552083333,0.8255208333,0.7604166667,0.8151041667,0.7942708333,0.2083333333,0.7890625,0.7395833333,0.1614583333,0.7916666667,0.6432291667
12000,0.84125,0.7596153846,0.8365384615,0.7644230769,0.8173076923,0.8028846154,0.2115384615,0.7980769231,0.7355769231,0.1586538462,0.7956730769,0.6418269231
13000,0.8458928571,0.7611607143,0.8303571429,0.7790178571,0.8191964286,0.8013392857,0.21875,0.7924107143,0.7410714286,0.1696428571,0.7946428571,0.6517857143
14000,0.8499166667,0.7625,0.8291666667,0.7791666667,0.8229166667,0.80625,0.2229166667,0.7979166667,0.7479166667,0.1666666667,0.7895833333,0.6520833333
15000,0.843671875,0.75390625,0.830078125,0.775390625,0.828125,0.802734375,0.220703125,0.796875,0.7578125,0.16796875,0.796875,0.654296875
