Iterations	Crammer (2 passages)	cross_entropy (4 passages)	GEL ( 4)	GLL (4)	Hinge (4)	Large_margin (m=1, 5 passages)	Large_margin (m=4, 1 passage)	Lee (4)	surrogate_double_hinge (2)	surrogate_exponential (2)	surrogate_hinge (3)	surrogate_hinge_squares (3)	surrogate_sigmoid (3)	surrogate_squares (3)
500	0,1124588847	0,2404913753	0,1677631587	0,2331157327	0,1884572878	0,2336348653	0,2407483459	0,1918688416	0,0934416056	0,1005345583	0,1367872755	0,1339432398	0,1000205676	0,1037897468
1000	0,1135382354	0,3258120865	0,2372018844	0,2352744788	0,2279566713	0,3256373286	0,349609375	0,2024825364	0,1012026966	0,1104029715	0,2250548204	0,1112253269	0,1001233657	0,160875837
1500	0,0989926159	0,3448036611	0,2428813726	0,3305407166	0,2543045916	0,3296463847	0,3049958944	0,2311883271	0,1009457111	0,1141550243	0,2760074139	0,1242461602	0,0998492241	0,1313733459
2000	0,1198087931	0,2707391083	0,2425729781	0,2502569705	0,2208444625	0,29765625	0,2438322306	0,2982370555	0,1151829958	0,0971936584	0,2904673715	0,2013089259	0,0998834968	0,142338256
2500	0,1144633889	0,3405890241	0,2532123774	0,252903983	0,2402921934	0,3172902822	0,3462170959	0,2552169114	0,1001747549	0,1104543507	0,319695731	0,142680943	0,0995065769	0,2064487537
3000	0,1105057597	0,3655427545	0,2931486368	0,232421875	0,2504047565	0,2920024633	0,1390830874	0,2892423868	0,1005345285	0,1022306681	0,3346011639	0,160875837	0,0999177496	0,2049410542
3500	0,1116878986	0,4229543582	0,292351976	0,3200298101	0,2867560107	0,3278371692	0,5299136639	0,2663702816	0,1004317403	0,0999691486	0,275390625	0,2026110291	0,1001918912	0,1548451185
4000	0,1061369181	0,2446803004	0,2259714156	0,2175421566	0,1985826977	0,3375205517	0,4021381736	0,2377158701	0,1004317403	0,099609375	0,3135279417	0,248526593	0,1002261639	0,147580862
4500	0,1100945771	0,3666221201	0,25642474	0,3075657934	0,2601768076	0,3163034558	0,4653577209	0,181023851	0,099557966	0,1018708944	0,3103755514	0,2138157686	0,0999862949	0,1579290032
5000	0,1125616729	0,2562705725	0,2324475795	0,3047132045	0,2264982574	0,4067639709	0,2265625	0,2332185358	0,0995065868	0,1307565868	0,3544408083	0,2613075574	0,0999177496	0,2090186477
5500	0,1089124084	0,386384666	0,2384097576	0,2496916056	0,2458496094	0,3439350367	0,2659333944	0,331414476	0,0994551778	0,1144634187	0,3761650125	0,2561677893	0,1002603968	0,2395148079
6000	0,1197060049	0,3117804229	0,2249177694	0,4166581109	0,268265577	0,3377055883	0,3835320473	0,2294922024	0,099712193	0,0999691486	0,3892886341	0,2906729778	0,0995751222	0,208367606
6500	0,1317331493	0,3733552545	0,2459395528	0,3435444087	0,2736430913	0,38069489	0,4037829041	0,2763414979	0,1003289521	0,1311163604	0,4446272055	0,4371230801	0,0997464458	0,2616159519
7000	0,103464216	0,4368575141	0,2697368413	0,3674187809	0,2943693381	0,3205797672	0,2436266541	0,2771895528	0,1106085479	0,152240932	0,4304756025	0,4071751634	0,1003289421	0,3843201796
7500	0,1103515625	0,5021844283	0,2537520677	0,4868164137	0,338276118	0,4509046078	0,4851973653	0,3908819929	0,0999177694	0,099712193	0,4914336602	0,472176532	0,0998492241	0,343989869
8000	0,1106599569	0,5299650431	0,2437037528	0,3790861368	0,3158537224	0,4186060786	0,5177837312	0,3868215382	0,1000205576	0,1564555764	0,517338266	0,440069894	0,0999177694	0,4171806375
8500	0,1178556681	0,5093287528	0,2468390167	0,4416632429	0,3289216701	0,4501438975	0,6316817403	0,3495322838	0,099557966	0,2098067403	0,5138432086	0,5068188012	0,0999520421	0,4419887761
9000	0,1177014709	0,5031095743	0,2229646444	0,3876696229	0,3078613281	0,4793174386	0,5600329041	0,3417454809	0,1001233459	0,1722348034	0,5369723241	0,4203330477	0,0998492241	0,3940172791
9500	0,1442742646	0,5856805071	0,303402558	0,4638157934	0,3742932808	0,5048930883	0,4792351723	0,4067125767	0,0997635424	0,1890419424	0,490714093	0,4947231313	0,0995065967	0,4728275736
