Iterations	Crammer (2)	cross_entropy (4)	GEL ( 4)	GLL (4)	Hinge (4)	Large_margin (m=1) (5)	Large_margin (m=4) (1)	Lee (4)	surrogate_double_hinge (2)	surrogate_exponential (2)	surrogate_hinge (3)	surrogate_hinge_squares (3)	surrogate_sigmoid (3)	surrogate_squares (3)
1000	0,1135382354	0,3258120865	0,2372018844	0,2352744788	0,2279566713	0,3256373286	0,349609375	0,2024825364	0,1012026966	0,1104029715	0,2250548204	0,1112253269	0,1001233657	0,160875837
2000	0,1198087931	0,2707391083	0,2425729781	0,2502569705	0,2208444625	0,29765625	0,2438322306	0,2982370555	0,1151829958	0,0971936584	0,2904673715	0,2013089259	0,0998834968	0,142338256
3000	0,1105057597	0,3655427545	0,2931486368	0,232421875	0,2504047565	0,2920024633	0,1390830874	0,2892423868	0,1005345285	0,1022306681	0,3346011639	0,160875837	0,0999177496	0,2049410542
4000	0,1061369181	0,2446803004	0,2259714156	0,2175421566	0,1985826977	0,3375205517	0,4021381736	0,2377158701	0,1004317403	0,099609375	0,3135279417	0,248526593	0,1002261639	0,147580862
5000	0,1125616729	0,2562705725	0,2324475795	0,3047132045	0,2264982574	0,4067639709	0,2265625	0,2332185358	0,0995065868	0,1307565868	0,3544408083	0,2613075574	0,0999177496	0,2090186477
6000	0,1197060049	0,3117804229	0,2249177694	0,4166581109	0,268265577	0,3377055883	0,3835320473	0,2294922024	0,099712193	0,0999691486	0,3892886341	0,2906729778	0,0995751222	0,208367606
7000	0,103464216	0,4368575141	0,2697368413	0,3674187809	0,2943693381	0,3205797672	0,2436266541	0,2771895528	0,1106085479	0,152240932	0,4304756025	0,4071751634	0,1003289421	0,3843201796
8000	0,1106599569	0,5299650431	0,2437037528	0,3790861368	0,3158537224	0,4186060786	0,5177837312	0,3868215382	0,1000205576	0,1564555764	0,517338266	0,440069894	0,0999177694	0,4171806375
9000	0,1177014709	0,5031095743	0,2229646444	0,3876696229	0,3078613281	0,4793174386	0,5600329041	0,3417454809	0,1001233459	0,1722348034	0,5369723241	0,4203330477	0,0998492241	0,3940172791
10000	0,1245888174	0,5874023438	0,3597604856	0,4666169807	0,3845921569	0,4904605329	0,4538445473	0,4772306681	0,0991981626	0,1832853556	0,5478001535	0,4898917178	0,0998149912	0,5343338748
11000	0,12890625	0,5269325674	0,4446957186	0,5407329425	0,4103168696	0,5844366729	0,5152138174	0,4774876684	0,1000205576	0,171875	0,5764459968	0,5151795546	0,1001576384	0,5238486826
12000	0,1302425861	0,5897923559	0,4477796033	0,596011512	0,4409565143	0,5569490194	0,5453330576	0,6196546033	0,099609375	0,1732113659	0,6111225386	0,5908374389	0,1001576185	0,5112732947
13000	0,1441200674	0,6384919733	0,3849969059	0,5886102021	0,4390547872	0,6526521385	0,5162417889	0,6208624616	0,1002775431	0,1282380819	0,6472382148	0,5713061988	0,1004317403	0,5824424227
14000	0,1376953125	0,6321186274	0,2371761948	0,6236122474	0,4076505955	0,6193667769	0,5756579041	0,5864000842	0,0998149812	0,1363075674	0,6722519199	0,6012198528	0,0994723042	0,6164679329
15000	0,162057966	0,6612613052	0,3275853246	0,6358449832	0,4466873948	0,630694896	0,7398231924	0,5843441635	0,1001747549	0,1005345285	0,6769805451	0,5971765419	0,1000891129	0,6461074601
16000	0,1586656868	0,6736996248	0,4744808823	0,6565069854	0,4908382948	0,6581825614	0,7412623465	0,6356393918	0,099712193	0,1090666056	0,6684827308	0,6189350287	0,1001918713	0,6570723653
17000	0,1210423708	0,6938476637	0,4299701825	0,6066509038	0,4628777802	0,6895764798	0,7505139858	0,6442485601	0,1002261639	0,2095497251	0,7201548815	0,7025424838	0,1000548402	0,6661526859
18000	0,1539884806	0,7105520144	0,3239103556	0,6475123391	0,4589907974	0,6972245038	0,7188527882	0,74043997	0,0998149812	0,1490542889	0,6672491729	0,7115885417	0,0997806986	0,6941817403
19000	0,1575863659	0,6886050552	0,4308953509	0,7193924747	0,4991198117	0,6615542769	0,6818462312	0,6509817019	0,1001747549	0,205078125	0,7252604167	0,7044956088	0,1000205676	0,6992872755
20000	0,1937705576	0,6957493871	0,4505293965	0,6944130287	0,5086155925	0,6452919424	0,7429070771	0,7184159122	0,1000719666	0,1205797493	0,734614859	0,7185786664	0,0999863148	0,7192639858
21000	0,1652446687	0,6912263595	0,4019325599	0,7325760685	0,4977449141	0,7228001654	0,7100123465	0,6271587163	0,1000205874	0,2158717215	0,7500342627	0,6704358508	0,0997464458	0,7457510978
