Itérations;crammer;cross_entropy;GEL;GLL;Hinge;Lee;surrogate_hinge;surrogate_hinge_squares;surrogate_squares
140000;0,1559416056;0,7759046108;0,3568050861;0,7889596969;0,8093133271;0,5631167889;0,7942022979;0,791632399;0,8262746781
140500;0,171875;0,7987253219;0,4701891541;0,8186677694;0,7959498316;0,7906044424;0,7987253219;0,8194901347;0,8361430913
141000;0,168546328;0,8059210479;0,5926192403;0,8126028031;0,8244243413;0,7948190719;0,8174342066;0,840460524;0,827508226
141500;0,1586143374;0,8393297642;0,6622121632;0,7964638174;0,8172286153;0,7666529566;0,8065378219;0,8483758271;0,8369654566
142000;0,1256167889;0,8355263174;0,7494860291;0,7702508271;0,829461351;0,7758018076;0,8117804229;0,8351151347;0,8194901347
142500;0,1746504903;0,8108552694;0,7726151347;0,8386102021;0,783203125;0,7718955576;0,8264802694;0,8361430913;0,817023024
143000;0,1706414223;0,7995477021;0,8087993413;0,798828125;0,7911184281;0,7276932597;0,8337787837;0,8362458944;0,8254522979
143500;0,1767064333;0,8046875;0,770867601;0,8361430913;0,8456003219;0,796258226;0,822882399;0,8366570771;0,8307977021
144000;0,1527549624;0,798211351;0,8078741729;0,783819899;0,7580180913;0,7551397979;0,8089021444;0,8188733608;0,8370682597
144500;0,1682771444;0,8059210479;0,7960526347;0,805304274;0,7809416056;0,790398851;0,8182565719;0,8204153031;0,8363486826
145000;0,1735197306;0,8254522979;0,8162006587;0,787109375;0,8449835479;0,7856702358;0,8325452358;0,8008840531;0,826788649
145500;0,1312705874;0,8213404566;0,8024259806;0,767578125;0,8172286153;0,7754934281;0,8249383271;0,8247327358;0,8355263174
146000;0,1690995097;0,8148643076;0,7937911153;0,7886513174;0,7511307597;0,7665501684;0,8206208944;0,8323396444;0,8422080576
146500;0,1735197306;0,7731291056;0,7449629903;0,83203125;0,7546258271;0,7172080576;0,8266858608;0,8178453892;0,8283305913
147000;0,1743420959;0,813836351;0,8019120097;0,8119860142;0,7919407934;0,763055101;0,8285361826;0,82421875;0,8068462163
147500;0,1804070473;0,8018092066;0,7808388174;0,809930101;0,822265625;0,7136102021;0,8360403031;0,8386102021;0,8274054229
148000;0,1733141541;0,8048930913;0,7275904715;0,7752878219;0,820929274;0,7356085479;0,8110608608;0,7922491729;0,8413856924
148500;0,1003289223;0,7895764858;0,3121916056;0,8049958944;0,8199013174;0,7922491729;0,8012952358;0,8375822306;0,8288445771
149000;0,1697162986;0,8155838847;0,5597245097;0,8151727021;0,7990337163;0,780633226;0,8154810816;0,8262746781;0,8180509806
149500;0,1732113361;0,7804276347;0,6646792889;0,7925575674;0,8179481924;0,7700452358;0,8347039521;0,8423108608;0,8179481924
150000;0,1517269611;0,8147615194;0,7544202358;0,8094161153;0,8278166056;0,7073396444;0,8391241729;0,8361430913;0,827508226
150500;0,1715666056;0,8617393076;0,7756990194;0,86328125;0,8635896444;0,8258634806;0,8575246781;0,8505345434;0,8474506587
151000;0,1781455874;0,8727384806;0,7902960479;0,8644120097;0,8694490194;0,8460115194;0,858038649;0,8569078892;0,8519736826
151500;0,1783511639;0,878597863;0,8094161153;0,8708881587;0,8731496781;0,8663651347;0,8616365194;0,8595805913;0,856805101
152000;0,1779399514;0,8815789446;0,8212376684;0,876644738;0,873663649;0,8668791056;0,8604029566;0,861328125;0,8598889858
152500;0,177631557;0,8843544424;0,828125;0,8723272979;0,8794202283;0,8677014858;0,8682154566;0,8617393076;0,8598889858
153000;0,1770148277;0,88671875;0,8351151347;0,8797286153;0,877261512;0,8708881587;0,8670846969;0,8604029566;0,8594778031
153500;0,1685855389;0,8783922717;0,8370682597;0,8791118413;0,874383226;0,8734580576;0,865234375;0,859375;0,859375
154000;0,1656044126;0,875;0,8414884806;0,8741776347;0,8760279641;0,8727384806;0,8653371781;0,8629728556;0,860711351
154500;0,1775287986;0,878597863;0,8337787837;0,8777754903;0,8784950674;0,8748971969;0,8649259806;0,8625616729;0,8630756587
155000;0,1772204041;0,8726356924;0,8448807597;0,8727384806;0,869140625;0,8643092066;0,869140625;0,8629728556;0,8627672642
155500;0,179584682;0,8739720434;0,8384046108;0,8760279641;0,8742804229;0,8693462163;0,869140625;0,8629728556;0,8611225337
156000;0,1788651347;0,8597861826;0,8447779566;0,8735608608;0,8706825674;0,8716077358;0,864617601;0,863898024;0,86328125
156500;0,17578125;0,8620477021;0,8466282934;0,8731496781;0,873046875;0,874383226;0,8663651347;0,8659539521;0,864617601
157000;0,1710526347;0,8692434281;0,8468338847;0,8623560816;0,8800370097;0,8630756587;0,8644120097;0,8654399663;0,8618421108
157500;0,1688939333;0,8530016392;0,845703125;0,8555715531;0,876644738;0,8662623316;0,8672903031;0,8649259806;0,8585526347
