Iterations,M-SVM Crammer,Entropy,GEL,GLL,M-SVM Weston,Large-margin softmax,M-SVM Lee,Surrogate saturated hinge,Surrogate exponential,Surrogate hinge,Surrogate hinge squares,Surrogate logistic,Surrogate sigmoid,Surrogate squares
0,0.1602,0.128911,0.145181,0.145181,0.222778,0.1602,0.068836,0.151439,0.145181,0.131414,0.158949,0.145181,0.128911,0.156446
1000,0.165207,0.221527,0.145181,0.145181,0.226533,0.2403,0.235294,0.153942,0.145181,0.241552,0.166458,0.145181,0.145181,0.115144
2000,0.151439,0.234043,0.145181,0.145181,0.231539,0.145181,0.234043,0.161452,0.145181,0.236546,0.216521,0.145181,0.145181,0.138924
3000,0.148936,0.237797,0.145181,0.145181,0.232791,0.145181,0.239049,0.158949,0.145181,0.239049,0.225282,0.145181,0.145181,0.152691
4000,0.148936,0.236546,0.145181,0.145181,0.237797,0.145181,0.241552,0.158949,0.145181,0.239049,0.236546,0.145181,0.145181,0.236546
5000,0.147685,0.2403,0.145181,0.145181,0.239049,0.145181,0.2403,0.158949,0.145181,0.239049,0.235294,0.145181,0.145181,0.242804
6000,0.147685,0.239049,0.145181,0.145181,0.2403,0.145181,0.237797,0.158949,0.145181,0.237797,0.236546,0.145181,0.145181,0.241552
7000,0.147685,0.239049,0.145181,0.145181,0.236546,0.145181,0.239049,0.158949,0.145181,0.239049,0.236546,0.145181,0.145181,0.2403
8000,0.146433,0.239049,0.145181,0.145181,0.239049,0.145181,0.239049,0.158949,0.145181,0.239049,0.235294,0.145181,0.145181,0.241552
9000,0.146433,0.241552,0.145181,0.145181,0.239049,0.145181,0.239049,0.152691,0.145181,0.239049,0.237797,0.145181,0.145181,0.2403
10000,0.145181,0.239049,0.145181,0.145181,0.2403,0.145181,0.239049,0.152691,0.145181,0.239049,0.232791,0.145181,0.145181,0.239049
11000,0.145181,0.241552,0.145181,0.145181,0.239049,0.145181,0.239049,0.152691,0.145181,0.239049,0.234043,0.145181,0.145181,0.239049
12000,0.145181,0.2403,0.145181,0.145181,0.239049,0.145181,0.239049,0.152691,0.145181,0.239049,0.236546,0.145181,0.145181,0.239049
13000,0.145181,0.2403,0.145181,0.145181,0.239049,0.145181,0.239049,0.152691,0.145181,0.2403,0.241552,0.145181,0.145181,0.239049
14000,0.145181,0.239049,0.145181,0.145181,0.2403,0.145181,0.239049,0.152691,0.145181,0.2403,0.2403,0.145181,0.145181,0.239049
15000,0.146433,0.239049,0.145181,0.145181,0.239049,0.145181,0.239049,0.152691,0.145181,0.2403,0.237797,0.145181,0.145181,0.239049
16000,0.145181,0.239049,0.145181,0.145181,0.2403,0.145181,0.2403,0.152691,0.145181,0.236546,0.235294,0.145181,0.145181,0.239049
17000,0.145181,0.239049,0.145181,0.145181,0.246558,0.145181,0.2403,0.152691,0.145181,0.239049,0.2403,0.145181,0.145181,0.239049
18000,0.146433,0.239049,0.145181,0.145181,0.2403,0.145181,0.239049,0.152691,0.145181,0.239049,0.237797,0.145181,0.145181,0.2403
19000,0.145181,0.239049,0.145181,0.145181,0.2403,0.145181,0.239049,0.152691,0.145181,0.2403,0.239049,0.145181,0.145181,0.239049
20000,0.145181,0.239049,0.145181,0.145181,0.239049,0.145181,0.239049,0.152691,0.145181,0.2403,0.239049,0.145181,0.145181,0.239049
21000,0.145181,0.239049,0.145181,0.145181,0.2403,0.145181,0.2403,0.152691,0.145181,0.239049,0.239049,0.145181,0.145181,0.239049
22000,0.145181,0.239049,0.145181,0.145181,0.2403,0.145181,0.239049,0.152691,0.145181,0.2403,0.239049,0.145181,0.145181,0.239049
23000,0.145181,0.239049,0.145181,0.145181,0.237797,0.145181,0.239049,0.152691,0.145181,0.239049,0.237797,0.145181,0.145181,0.239049
24000,0.145181,0.239049,0.145181,0.145181,0.239049,0.145181,0.239049,0.152691,0.145181,0.2403,0.239049,0.145181,0.145181,0.241552
25000,0.145181,0.239049,0.145181,0.145181,0.230288,0.145181,0.2403,0.152691,0.145181,0.239049,0.237797,0.145181,0.145181,0.239049
26000,0.145181,0.239049,0.145181,0.145181,0.236546,0.145181,0.2403,0.148936,0.145181,0.239049,0.239049,0.145181,0.145181,0.239049
27000,0.145181,0.239049,0.145181,0.145181,0.237797,0.145181,0.2403,0.148936,0.145181,0.239049,0.237797,0.145181,0.145181,0.239049
28000,0.145181,0.241552,0.145181,0.145181,0.239049,0.145181,0.2403,0.148936,0.145181,0.239049,0.239049,0.145181,0.145181,0.239049
29000,0.145181,0.241552,0.145181,0.145181,0.235294,0.145181,0.2403,0.148936,0.145181,0.239049,0.236546,0.145181,0.145181,0.239049
30000,0.145181,0.2403,0.145181,0.145181,0.237797,0.145181,0.239049,0.148936,0.145181,0.239049,0.237797,0.145181,0.145181,0.239049
31000,0.145181,0.2403,0.145181,0.145181,0.241552,0.145181,0.239049,0.148936,0.145181,0.239049,0.241552,0.145181,0.145181,0.2403
32000,0.145181,0.2403,0.145181,0.145181,0.235294,0.145181,0.239049,0.148936,0.145181,0.2403,0.239049,0.145181,0.145181,0.239049
33000,0.145181,0.2403,0.145181,0.145181,0.237797,0.145181,0.2403,0.148936,0.145181,0.2403,0.239049,0.145181,0.145181,0.2403
34000,0.145181,0.2403,0.145181,0.145181,0.237797,0.145181,0.2403,0.148936,0.145181,0.239049,0.239049,0.145181,0.145181,0.2403
35000,0.145181,0.2403,0.145181,0.145181,0.241552,0.145181,0.2403,0.148936,0.145181,0.239049,0.239049,0.145181,0.145181,0.239049
36000,0.145181,0.242804,0.145181,0.145181,0.239049,0.145181,0.239049,0.148936,0.145181,0.239049,0.239049,0.145181,0.145181,0.2403
37000,0.145181,0.239049,0.145181,0.145181,0.237797,0.145181,0.2403,0.148936,0.145181,0.239049,0.239049,0.145181,0.145181,0.2403
38000,0.145181,0.239049,0.145181,0.145181,0.245307,0.145181,0.2403,0.148936,0.145181,0.239049,0.239049,0.145181,0.145181,0.2403
39000,0.145181,0.239049,0.145181,0.145181,0.2403,0.145181,0.2403,0.148936,0.145181,0.239049,0.237797,0.145181,0.145181,0.239049
40000,0.145181,0.239049,0.145181,0.145181,0.241552,0.145181,0.2403,0.148936,0.145181,0.239049,0.239049,0.145181,0.145181,0.2403
41000,0.145181,0.239049,0.145181,0.145181,0.250313,0.145181,0.2403,0.148936,0.145181,0.239049,0.239049,0.145181,0.145181,0.239049
42000,0.145181,0.239049,0.145181,0.145181,0.265332,0.145181,0.2403,0.148936,0.145181,0.2403,0.239049,0.145181,0.145181,0.2403
43000,0.145181,0.239049,0.145181,0.145181,0.245307,0.145181,0.2403,0.148936,0.145181,0.239049,0.239049,0.145181,0.145181,0.2403
44000,0.145181,0.239049,0.145181,0.145181,0.256571,0.145181,0.2403,0.148936,0.145181,0.239049,0.239049,0.145181,0.145181,0.2403
45000,0.145181,0.239049,0.145181,0.145181,0.261577,0.145181,0.2403,0.148936,0.145181,0.239049,0.239049,0.145181,0.145181,0.239049
46000,0.145181,0.237797,0.145181,0.145181,0.267835,0.145181,0.239049,0.128911,0.145181,0.239049,0.239049,0.145181,0.145181,0.239049
47000,0.145181,0.239049,0.145181,0.145181,0.260325,0.145181,0.239049,0.128911,0.145181,0.239049,0.239049,0.145181,0.145181,0.239049
48000,0.145181,0.239049,0.145181,0.145181,0.26408,0.145181,0.239049,0.128911,0.145181,0.239049,0.239049,0.145181,0.145181,0.239049
49000,0.145181,0.239049,0.145181,0.145181,0.26408,0.145181,0.239049,0.128911,0.145181,0.239049,0.239049,0.145181,0.145181,0.239049
50000,0.145181,0.237797,0.145181,0.145181,0.257822,0.145181,0.239049,0.128911,0.145181,0.239049,0.239049,0.145181,0.145181,0.239049
51000,0.145181,0.239049,0.145181,0.145181,0.260325,0.145181,0.2403,0.128911,0.145181,0.239049,0.239049,0.145181,0.145181,0.2403
52000,0.145181,0.239049,0.145181,0.145181,0.271589,0.145181,0.239049,0.128911,0.145181,0.239049,0.239049,0.145181,0.145181,0.2403
53000,0.145181,0.239049,0.145181,0.145181,0.284105,0.145181,0.2403,0.128911,0.145181,0.239049,0.239049,0.145181,0.145181,0.2403
54000,0.145181,0.239049,0.145181,0.145181,0.275344,0.145181,0.2403,0.128911,0.145181,0.2403,0.239049,0.145181,0.145181,0.239049
55000,0.145181,0.239049,0.145181,0.145181,0.28035,0.145181,0.2403,0.128911,0.145181,0.239049,0.239049,0.145181,0.145181,0.2403
56000,0.145181,0.239049,0.145181,0.145181,0.27159,0.145181,0.2403,0.128911,0.145181,0.239049,0.239049,0.145181,0.145181,0.239049
