Iterations,Entropy,M-SVM Weston,M-SVM Crammer,M-SVM Lee,GLL,GEL,Surrogate saturated hinge,Surrogate hinge squares,,Surrogate sigmoid,Surrogate squares,Surrogate exponential
0,0.28,0.0625,0.1875,0.25,0.28125,0.15625,0.28125,0.09375,0.21875,0.125,0.1875,0.125
1000,0.5775,0.40625,0.546875,0.46875,0.5625,0.484375,0.234375,0.5,0.453125,0.109375,0.5,0.265625
2000,0.6975,0.541666667,0.666666667,0.572916667,0.65625,0.614583333,0.21875,0.625,0.53125,0.135416667,0.625,0.385416667
3000,0.7028125,0.609375,0.7421875,0.625,0.7109375,0.671875,0.1953125,0.6875,0.6015625,0.140625,0.65625,0.453125
4000,0.73725,0.66875,0.76875,0.65625,0.74375,0.70625,0.2375,0.725,0.6125,0.1625,0.69375,0.5375
5000,0.765416667,0.6875,0.776041667,0.6875,0.770833333,0.729166667,0.229166667,0.734375,0.635416667,0.161458333,0.71875,0.578125
6000,0.794464286,0.705357143,0.790178571,0.709821429,0.78125,0.754464286,0.227678571,0.736607143,0.669642857,0.151785714,0.727678571,0.59375
7000,0.81625,0.73046875,0.796875,0.72265625,0.80078125,0.76953125,0.2265625,0.7578125,0.69140625,0.14453125,0.7578125,0.61328125
8000,0.82625,0.725694444,0.8125,0.736111111,0.802083333,0.78125,0.21875,0.774305556,0.701388889,0.149305556,0.774305556,0.625
9000,0.83425,0.7375,0.821875,0.740625,0.8125,0.784375,0.21875,0.778125,0.71875,0.15,0.790625,0.6375
10000,0.832272727,0.744318182,0.821022727,0.761363636,0.8125,0.786931818,0.21875,0.784090909,0.724431818,0.161931818,0.789772727,0.650568182
11000,0.8384375,0.755208333,0.825520833,0.760416667,0.815104167,0.794270833,0.208333333,0.7890625,0.739583333,0.161458333,0.791666667,0.643229167
12000,0.84125,0.759615385,0.836538462,0.764423077,0.817307692,0.802884615,0.211538462,0.798076923,0.735576923,0.158653846,0.795673077,0.641826923
13000,0.845892857,0.761160714,0.830357143,0.779017857,0.819196429,0.801339286,0.21875,0.792410714,0.741071429,0.169642857,0.794642857,0.651785714
14000,0.849916667,0.7625,0.829166667,0.779166667,0.822916667,0.80625,0.222916667,0.797916667,0.747916667,0.166666667,0.789583333,0.652083333
15000,0.843671875,0.75390625,0.830078125,0.775390625,0.828125,0.802734375,0.220703125,0.796875,0.7578125,0.16796875,0.796875,0.654296875
16000,0.843676471,0.748161765,0.830882353,0.779411765,0.832720588,0.806985294,0.222426471,0.794117647,0.761029412,0.165441177,0.794117647,0.659926471
