Iterations,M-SVM Crammer,Entropy,GEL,GLL,M-SVM Weston,Large-margin softmax,M-SVM Lee,Surrogate saturated hinge,Surrogate exponential,Surrogate hinge,Surrogate hinge squares,Surrogate logistic,Surrogate sigmoid,Surrogate squares
0,0.124,0.116,0.145181,0.114,0.086,0.114,0.114,0.114,0.1,0.112,0.12,0.116,0.086,0.08
1000,0.132,0.356,0.145181,0.34,0.35,0.368,0.116,0.094,0.084,0.304,0.178,0.32,0.08,0.16
2000,0.112,0.436,0.145181,0.416,0.422,0.396,0.09,0.106,0.086,0.36,0.226,0.338,0.08,0.202
3000,0.114,0.48,0.145181,0.476,0.438,0.45,0.15,0.106,0.116,0.4,0.26,0.386,0.08,0.226
4000,0.112,0.512,0.145181,0.522,0.464,0.448,0.182,0.106,0.064,0.42,0.28,0.408,0.08,0.246
5000,0.114,0.552,0.145181,0.52,0.52,0.46,0.19,0.106,0.112,0.432,0.292,0.446,0.08,0.276
6000,0.116,0.558,0.145181,0.552,0.506,0.476,0.21,0.106,0.112,0.426,0.318,0.448,0.098,0.256
7000,0.114,0.578,0.145181,0.566,0.504,0.516,0.222,0.094,0.106,0.462,0.336,0.464,0.098,0.326
8000,0.114,0.556,0.145181,0.574,0.562,0.52,0.25,0.094,0.114,0.462,0.328,0.454,0.098,0.296
9000,0.114,0.564,0.145181,0.568,0.546,0.534,0.24,0.094,0.112,0.462,0.354,0.458,0.098,0.352
10000,0.114,0.574,0.145181,0.616,0.554,0.498,0.244,0.094,0.116,0.476,0.404,0.488,0.098,0.354
11000,0.114,0.574,0.145181,0.612,0.58,0.498,0.282,0.094,0.114,0.474,0.404,0.478,0.098,0.376
12000,0.114,0.592,0.145181,0.612,0.58,0.55,0.278,0.094,0.106,0.492,0.394,0.512,0.098,0.35
13000,0.114,0.59,0.145181,0.614,0.604,0.534,0.302,0.094,0.114,0.52,0.418,0.508,0.098,0.408
14000,0.114,0.61,0.145181,0.64,0.586,0.564,0.288,0.094,0.12,0.508,0.424,0.518,0.098,0.41
15000,0.114,0.626,0.145181,0.64,0.584,0.55,0.312,0.094,0.092,0.514,0.432,0.504,0.098,0.392
16000,0.114,0.62,0.145181,0.646,0.622,0.532,0.312,0.094,0.094,0.53,0.466,0.546,0.098,0.412
17000,0.114,0.608,0.145181,0.658,0.628,0.56,0.296,0.094,0.09,0.544,0.46,0.492,0.098,0.414
18000,0.114,0.626,0.145181,0.626,0.594,0.568,0.322,0.094,0.094,0.53,0.476,0.544,0.098,0.39
19000,0.114,0.65,0.145181,0.658,0.628,0.572,0.33,0.094,0.11,0.554,0.452,0.574,0.098,0.416
20000,0.114,0.654,0.145181,0.688,0.634,0.544,0.32,0.094,0.102,0.566,0.466,0.564,0.098,0.426
21000,0.114,0.646,0.145181,0.686,0.642,0.584,0.322,0.094,0.116,0.566,0.478,0.114,0.098,0.418
22000,0.114,0.63,0.145181,0.698,0.632,0.594,0.312,0.094,0.112,0.566,0.472,0.114,0.098,0.426
23000,0.114,0.654,0.145181,0.682,0.658,0.576,0.314,0.094,0.12,0.59,0.478,0.114,0.098,0.454
24000,0.114,0.64,0.145181,0.688,0.638,0.596,0.328,0.094,0.122,0.578,0.482,0.114,0.098,0.42
25000,0.114,0.636,0.145181,0.68,0.632,0.6,0.342,0.094,0.12,0.594,0.486,0.114,0.098,0.436
26000,0.114,0.648,0.145181,0.692,0.668,0.602,0.326,0.094,0.084,0.604,0.498,0.114,0.098,0.452
27000,0.114,0.676,0.145181,0.694,0.658,0.59,0.322,0.094,0.124,0.602,0.426,0.114,0.098,0.422
28000,0.114,0.658,0.145181,0.712,0.674,0.612,0.334,0.094,0.1,0.624,0.488,0.114,0.098,0.444
29000,0.114,0.664,0.145181,0.686,0.67,0.612,0.312,0.094,0.104,0.62,0.504,0.114,0.098,0.456
30000,0.114,0.682,0.145181,0.704,0.678,0.584,0.322,0.094,0.108,0.608,0.52,0.114,0.098,0.44
31000,0.114,0.686,0.145181,0.706,0.664,0.618,0.37,0.094,0.1,0.602,0.508,0.114,0.098,0.472
32000,0.114,0.66,0.145181,0.726,0.666,0.604,0.338,0.094,0.102,0.606,0.506,0.114,0.098,0.45
33000,0.114,0.68,0.145181,0.71,0.692,0.618,0.378,0.094,0.112,0.62,0.528,0.114,0.098,0.49
34000,0.114,0.672,0.145181,0.706,0.68,0.616,0.37,0.094,0.108,0.626,0.486,0.114,0.098,0.492
35000,0.114,0.686,0.145181,0.716,0.68,0.652,0.386,0.094,0.126,0.628,0.502,0.114,0.098,0.46
36000,0.114,0.7,0.145181,0.726,0.68,0.65,0.386,0.094,0.122,0.622,0.534,0.114,0.098,0.468
37000,0.114,0.702,0.145181,0.722,0.696,0.618,0.354,0.094,0.124,0.626,0.524,0.114,0.098,0.502
38000,0.114,0.684,0.145181,0.708,0.688,0.624,0.378,0.094,0.132,0.638,0.544,0.114,0.098,0.478
39000,0.114,0.688,0.145181,0.72,0.688,0.614,0.386,0.094,0.116,0.642,0.544,0.114,0.098,0.51
40000,0.114,0.7,0.145181,0.712,0.72,0.614,0.366,0.094,0.104,0.654,0.528,0.114,0.098,0.492
41000,0.114,0.684,0.145181,0.72,0.686,0.612,0.322,0.094,0.112,0.646,0.53,0.114,0.098,0.462
42000,0.114,0.692,0.145181,0.722,0.694,0.62,0.366,0.094,0.102,0.646,0.538,0.114,0.098,0.474
43000,0.114,0.684,0.145181,0.724,0.704,0.626,0.394,0.094,0.108,0.65,0.546,0.114,0.098,0.508
44000,0.114,0.706,0.145181,0.728,0.704,0.642,0.372,0.094,0.11,0.636,0.544,0.114,0.098,0.496
45000,0.114,0.698,0.145181,0.718,0.722,0.638,0.366,0.094,0.168,0.652,0.536,0.114,0.098,0.508
46000,0.114,0.682,0.145181,0.728,0.712,0.642,0.364,0.094,0.164,0.662,0.544,0.114,0.098,0.488
47000,0.114,0.696,0.145181,0.728,0.706,0.628,0.388,0.094,0.202,0.652,0.544,0.114,0.098,0.51
48000,0.114,0.688,0.145181,0.71,0.712,0.626,0.364,0.094,0.2,0.658,0.554,0.114,0.098,0.47
49000,0.114,0.696,0.145181,0.714,0.69,0.644,0.392,0.094,0.186,0.656,0.548,0.114,0.098,0.5
50000,0.114,0.688,0.145181,0.72,0.704,0.636,0.374,0.094,0.216,0.67,0.542,0.114,0.098,0.498
51000,0.114,0.676,0.145181,0.706,0.696,0.628,0.39,0.094,0.23,0.666,0.558,0.114,0.098,0.528
52000,0.114,0.69,0.145181,0.704,0.726,0.636,0.394,0.094,0.24,0.66,0.562,0.114,0.098,0.506
53000,0.114,0.708,0.145181,0.726,0.708,0.646,0.394,0.094,0.258,0.668,0.574,0.114,0.098,0.534
54000,0.114,0.7,0.145181,0.718,0.704,0.634,0.37,0.094,0.29,0.676,0.556,0.114,0.098,0.532
55000,0.114,0.7,0.145181,0.738,0.71,0.64,0.392,0.094,0.304,0.67,0.554,0.114,0.098,0.516
56000,0.114,0.692,0.145181,0.718,0.714,0.636,0.386,0.094,0.292,0.676,0.572,0.114,0.098,0.528
57000,0.114,0.664,0.145181,0.724,0.71,0.602,0.36,0.094,0.296,0.668,0.558,0.114,0.098,0.504
58000,0.114,0.706,0.145181,0.722,0.708,0.646,0.364,0.094,0.342,0.68,0.574,0.114,0.098,0.536
59000,0.114,0.682,0.145181,0.74,0.74,0.636,0.386,0.094,0.336,0.676,0.566,0.114,0.098,0.512
60000,0.114,0.7,0.145181,0.714,0.712,0.628,0.362,0.094,0.328,0.684,0.55,0.114,0.098,0.546
61000,0.114,0.71,0.145181,0.708,0.692,0.63,0.384,0.094,0.372,0.688,0.556,0.114,0.098,0.542
62000,0.114,0.688,0.145181,0.71,0.694,0.612,0.366,0.094,0.384,0.692,0.574,0.114,0.098,0.534
63000,0.114,0.672,0.145181,0.726,0.72,0.638,0.366,0.094,0.384,0.686,0.552,0.114,0.098,0.536
64000,0.114,0.698,0.145181,0.72,0.732,0.614,0.348,0.094,0.38,0.692,0.574,0.114,0.098,0.534
65000,0.114,0.7,0.145181,0.708,0.72,0.608,0.39,0.094,0.396,0.692,0.59,0.114,0.102,0.528
66000,0.114,0.698,0.145181,0.714,0.704,0.646,0.368,0.094,0.41,0.692,0.598,0.114,0.102,0.53
67000,0.114,0.688,0.145181,0.73,0.742,0.656,0.352,0.094,0.408,0.684,0.57,0.114,0.102,0.54
68000,0.114,0.704,0.145181,0.726,0.708,0.634,0.394,0.094,0.398,0.68,0.562,0.114,0.098,0.548
69000,0.114,0.692,0.145181,0.724,0.708,0.64,0.394,0.094,0.434,0.682,0.566,0.114,0.096,0.546
70000,0.114,0.69,0.145181,0.726,0.722,0.63,0.394,0.094,0.462,0.684,0.568,0.114,0.096,0.55
71000,0.114,0.706,0.145181,0.734,0.696,0.618,0.36,0.094,0.418,0.69,0.578,0.114,0.096,0.534
72000,0.114,0.712,0.145181,0.71,0.728,0.656,0.364,0.094,0.402,0.694,0.564,0.114,0.096,0.54
73000,0.114,0.722,0.145181,0.718,0.712,0.628,0.396,0.094,0.368,0.7,0.574,0.114,0.096,0.56
74000,0.114,0.686,0.145181,0.712,0.712,0.63,0.372,0.094,0.346,0.692,0.576,0.114,0.098,0.558
75000,0.114,0.692,0.145181,0.712,0.712,0.654,0.356,0.094,0.436,0.712,0.576,0.114,0.098,0.562
76000,0.114,0.706,0.145181,0.716,0.718,0.626,0.378,0.094,0.426,0.702,0.588,0.114,0.098,0.538
77000,0.114,0.696,0.145181,0.72,0.732,0.642,0.376,0.094,0.452,0.696,0.578,0.114,0.096,0.554
78000,0.114,0.702,0.145181,0.726,0.72,0.656,0.372,0.094,0.422,0.696,0.578,0.114,0.096,0.56
79000,0.114,0.698,0.145181,0.714,0.71,0.634,0.378,0.094,0.316,0.69,0.572,0.114,0.096,0.574
80000,0.114,0.7,0.145181,0.72,0.716,0.618,0.376,0.094,0.422,0.694,0.584,0.114,0.096,0.574
80000,0.114,0.7,0.145181,0.72,0.716,0.618,0.376,0.094,0.422,0.694,0.584,0.114,0.096,0.574
