Iterations,M-SVM Crammer,Entropy,GEL,GLL,M-SVM Weston,Large-margin softmax,M-SVM Lee,Surrogate saturated hinge,Surrogate exponential,Surrogate hinge,Surrogate hinge squares,Surrogate logistic,Surrogate sigmoid,Surrogate squares
0,0.1142,0.1162,0.0978,0.1062,0.1018,0.0924,0.0678,0.1444,0.0914,0.0804,0.108,0.13,0.1,0.135
1000,0.921,0.931,0.2132,0.9294,0.9246,0.8928,0.6674,0.0906,0.1428,0.8732,0.8312,0.9098,0.1,0.741
2000,0.9446,0.9466,0.1648,0.9536,0.946,0.9174,0.8262,0.0864,0.1132,0.9178,0.8984,0.9348,0.1,0.8484
3000,0.9596,0.9624,0.3006,0.9676,0.9544,0.9326,0.8992,0.0934,0.1486,0.9334,0.9232,0.092,0.1,0.8956
4000,0.9634,0.9708,0.2,0.9706,0.9646,0.957,0.928,0.1128,0.1566,0.9446,0.9302,0.092,0.1,0.92
5000,0.966,0.974,0.2378,0.974,0.9666,0.9588,0.934,0.0924,0.17,0.9514,0.9434,0.092,0.1,0.9348
6000,0.973,0.9748,0.3178,0.9764,0.9678,0.9504,0.9462,0.095,0.1642,0.96,0.9544,0.092,0.1,0.9472
7000,0.9766,0.9794,0.1982,0.9802,0.9766,0.9562,0.9508,0.095,0.1672,0.9642,0.9566,0.092,0.1,0.9552
8000,0.9786,0.9798,0.4252,0.9816,0.9788,0.9576,0.9544,0.095,0.1484,0.9646,0.9622,0.092,0.1,0.961
9000,0.9748,0.9806,0.3,0.9804,0.9786,0.9636,0.9556,0.095,0.1662,0.9714,0.964,0.092,0.1,0.9632
10000,0.9738,0.982,0.2584,0.9796,0.9786,0.9738,0.9598,0.095,0.1668,0.9722,0.9684,0.092,0.1,0.9642
11000,0.9812,0.981,0.3782,0.9806,0.9792,0.9644,0.9642,0.0924,0.1518,0.9742,0.9682,0.092,0.1,0.9686
12000,0.9824,0.9806,0.3724,0.9846,0.9784,0.9676,0.9628,0.0924,0.167,0.9772,0.9714,0.092,0.1,0.9726
13000,0.9818,0.9836,0.4114,0.9842,0.982,0.9756,0.9628,0.0924,0.1754,0.9764,0.971,0.092,0.1,0.9728
14000,0.9832,0.9836,0.4254,0.9852,0.9842,0.9656,0.9664,0.0924,0.173,0.982,0.9732,0.092,0.1,0.974
15000,0.9838,0.9842,0.2206,0.9844,0.9832,0.9738,0.9674,0.0924,0.1822,0.9822,0.9756,0.092,0.1,0.9744
16000,0.9842,0.982,0.314,0.9864,0.9856,0.9676,0.971,0.0924,0.1962,0.9826,0.9738,0.092,0.1,0.9778
17000,0.9842,0.9866,0.3724,0.9852,0.9862,0.969,0.9716,0.0924,0.2118,0.9832,0.9788,0.092,0.1,0.978
18000,0.985,0.9856,0.4572,0.9844,0.9848,0.9694,0.9718,0.0924,0.24,0.9814,0.9774,0.092,0.1,0.979
19000,0.9864,0.9842,0.4242,0.9856,0.9846,0.971,0.9738,0.0924,0.2658,0.9844,0.977,0.092,0.1,0.9796
20000,0.9826,0.9858,0.4962,0.9842,0.9816,0.9792,0.9738,0.0924,0.3108,0.9836,0.9756,0.092,0.1,0.9806
21000,0.9848,0.9858,0.488,0.9864,0.9862,0.9684,0.9736,0.0924,0.3696,0.9862,0.9796,0.092,0.1,0.9806
22000,0.987,0.9864,0.5238,0.9872,0.9864,0.9768,0.9772,0.0924,0.436,0.985,0.9812,0.092,0.1,0.9808
23000,0.9856,0.9856,0.4796,0.9872,0.9832,0.97,0.9742,0.0924,0.5116,0.985,0.9832,0.092,0.1,0.9818
24000,0.9866,0.9868,0.5612,0.985,0.9868,0.9742,0.9774,0.0924,0.6194,0.9866,0.9798,0.092,0.1,0.9794
25000,0.984,0.9868,0.4524,0.987,0.989,0.9722,0.9752,0.0924,0.692,0.9864,0.9816,0.092,0.1,0.9828
26000,0.9892,0.9856,0.5444,0.9878,0.9886,0.98,0.9764,0.0924,0.7484,0.984,0.9828,0.092,0.1,0.9824
27000,0.9868,0.984,0.522,0.9868,0.9854,0.9744,0.9794,0.0924,0.7836,0.9852,0.984,0.092,0.1,0.9842
28000,0.9874,0.991,0.545,0.985,0.9854,0.9786,0.9774,0.0924,0.8274,0.9854,0.9826,0.092,0.1,0.985
29000,0.984,0.9862,0.5132,0.9874,0.9878,0.9746,0.9774,0.0924,0.8572,0.9868,0.9828,0.092,0.1,0.9842
30000,0.9844,0.9866,0.5716,0.9848,0.9872,0.9754,0.9796,0.0924,0.894,0.9888,0.9834,0.092,0.1,0.9846
31000,0.9844,0.9872,0.513,0.9864,0.987,0.976,0.9774,0.0924,0.8886,0.9868,0.9806,0.092,0.1,0.984
