Iterations;Entropy;GEL;GLL;M-SVM Weston;M-SVM Lee;Surrogate Hinge;Surrogate Hinge Squares;Surrogate Squares
140000;0,775904611;0,356805086;0,788959697;0,809313327;0,563116789;0,794202298;0,791632399;0,826274678
140500;0,798725322;0,470189154;0,818667769;0,795949832;0,790604442;0,798725322;0,819490135;0,836143091
141000;0,805921048;0,59261924;0,812602803;0,824424341;0,794819072;0,817434207;0,840460524;0,827508226
141500;0,839329764;0,662212163;0,796463817;0,817228615;0,766652957;0,806537822;0,848375827;0,836965457
142000;0,835526317;0,749486029;0,770250827;0,829461351;0,775801808;0,811780423;0,835115135;0,819490135
142500;0,810855269;0,772615135;0,838610202;0,783203125;0,771895558;0,826480269;0,836143091;0,817023024
143000;0,799547702;0,808799341;0,798828125;0,791118428;0,72769326;0,833778784;0,836245894;0,825452298
143500;0,8046875;0,770867601;0,836143091;0,845600322;0,796258226;0,822882399;0,836657077;0,830797702
144000;0,798211351;0,807874173;0,783819899;0,758018091;0,755139798;0,808902144;0,818873361;0,83706826
144500;0,805921048;0,796052635;0,805304274;0,780941606;0,790398851;0,818256572;0,820415303;0,836348683
145000;0,825452298;0,816200659;0,787109375;0,844983548;0,785670236;0,832545236;0,800884053;0,826788649
145500;0,821340457;0,802425981;0,767578125;0,817228615;0,775493428;0,824938327;0,824732736;0,835526317
146000;0,814864308;0,793791115;0,788651317;0,75113076;0,766550168;0,820620894;0,832339644;0,842208058
146500;0,773129106;0,74496299;0,83203125;0,754625827;0,717208058;0,826685861;0,817845389;0,828330591
147000;0,813836351;0,80191201;0,811986014;0,791940793;0,763055101;0,828536183;0,82421875;0,806846216
147500;0,801809207;0,780838817;0,809930101;0,822265625;0,713610202;0,836040303;0,838610202;0,827405423
148000;0,804893091;0,727590472;0,775287822;0,820929274;0,735608548;0,811060861;0,792249173;0,841385692
148500;0,789576486;0,312191606;0,804995894;0,819901317;0,792249173;0,801295236;0,837582231;0,828844577
149000;0,815583885;0,55972451;0,815172702;0,799033716;0,780633226;0,815481082;0,826274678;0,818050981
149500;0,780427635;0,664679289;0,792557567;0,817948192;0,770045236;0,834703952;0,842310861;0,817948192
150000;0,814761519;0,754420236;0,809416115;0,827816606;0,707339644;0,839124173;0,836143091;0,827508226
150500;0,861739308;0,775699019;0,86328125;0,863589644;0,825863481;0,857524678;0,850534543;0,847450659
151000;0,872738481;0,790296048;0,86441201;0,869449019;0,846011519;0,858038649;0,856907889;0,851973683
151500;0,878597863;0,809416115;0,870888159;0,873149678;0,866365135;0,861636519;0,859580591;0,856805101
152000;0,881578945;0,821237668;0,876644738;0,873663649;0,866879106;0,860402957;0,861328125;0,859888986
152500;0,884354442;0,828125;0,872327298;0,879420228;0,867701486;0,868215457;0,861739308;0,859888986
153000;0,88671875;0,835115135;0,879728615;0,877261512;0,870888159;0,867084697;0,860402957;0,859477803
153500;0,878392272;0,83706826;0,879111841;0,874383226;0,873458058;0,865234375;0,859375;0,859375
154000;0,875;0,841488481;0,874177635;0,876027964;0,872738481;0,865337178;0,862972856;0,860711351
