Iterations;Entropy;GEL;GLL;M-SVM Weston;M-SVM Lee;Surrogate Hinge;Surrogate Hinge Squares;Surrogate Squares;Surrogate Saturated Hinge;Surrogate Exponential;Surrogate Sigmoid;M-SVM Crammer
500;0,240491375;0,167763159;0,233115733;0,188457288;0,191868842;0,136787276;0,13394324;0,103789747;0,093441606;0,100534558;0,100020568;0,112458885
1000;0,325812087;0,237201884;0,235274479;0,227956671;0,202482536;0,22505482;0,111225327;0,160875837;0,101202697;0,110402972;0,100123366;0,113538235
1500;0,344803661;0,242881373;0,330540717;0,254304592;0,231188327;0,276007414;0,12424616;0,131373346;0,100945711;0,114155024;0,099849224;0,098992616
2000;0,270739108;0,242572978;0,250256971;0,220844463;0,298237056;0,290467372;0,201308926;0,142338256;0,115182996;0,097193658;0,099883497;0,119808793
2500;0,340589024;0,253212377;0,252903983;0,240292193;0,255216911;0,319695731;0,142680943;0,206448754;0,100174755;0,110454351;0,099506577;0,114463389
3000;0,365542755;0,293148637;0,232421875;0,250404757;0,289242387;0,334601164;0,160875837;0,204941054;0,100534529;0,102230668;0,09991775;0,11050576
3500;0,422954358;0,292351976;0,32002981;0,286756011;0,266370282;0,275390625;0,202611029;0,154845119;0,10043174;0,099969149;0,100191891;0,111687899
4000;0,2446803;0,225971416;0,217542157;0,198582698;0,23771587;0,313527942;0,248526593;0,147580862;0,10043174;0,099609375;0,100226164;0,106136918
4500;0,36662212;0,25642474;0,307565793;0,260176808;0,181023851;0,310375551;0,213815769;0,157929003;0,099557966;0,101870894;0,099986295;0,110094577
5000;0,256270573;0,23244758;0,304713205;0,226498257;0,233218536;0,354440808;0,261307557;0,209018648;0,099506587;0,130756587;0,09991775;0,112561673
5500;0,386384666;0,238409758;0,249691606;0,245849609;0,331414476;0,376165013;0,256167789;0,239514808;0,099455178;0,114463419;0,100260397;0,108912408
6000;0,311780423;0,224917769;0,416658111;0,268265577;0,229492202;0,389288634;0,290672978;0,208367606;0,099712193;0,099969149;0,099575122;0,119706005
6500;0,373355255;0,245939553;0,343544409;0,273643091;0,276341498;0,444627206;0,43712308;0,261615952;0,100328952;0,13111636;0,099746446;0,131733149
7000;0,436857514;0,269736841;0,367418781;0,294369338;0,277189553;0,430475603;0,407175163;0,38432018;0,110608548;0,152240932;0,100328942;0,103464216
7500;0,502184428;0,253752068;0,486816414;0,338276118;0,390881993;0,49143366;0,472176532;0,343989869;0,099917769;0,099712193;0,099849224;0,110351563
8000;0,529965043;0,243703753;0,379086137;0,315853722;0,386821538;0,517338266;0,440069894;0,417180638;0,100020558;0,156455576;0,099917769;0,110659957
8500;0,509328753;0,246839017;0,441663243;0,32892167;0,349532284;0,513843209;0,506818801;0,441988776;0,099557966;0,20980674;0,099952042;0,117855668
9000;0,503109574;0,222964644;0,387669623;0,307861328;0,341745481;0,536972324;0,420333048;0,394017279;0,100123346;0,172234803;0,099849224;0,117701471
9500;0,585680507;0,303402558;0,463815793;0,374293281;0,406712577;0,490714093;0,494723131;0,472827574;0,099763542;0,189041942;0,099506597;0,144274265
10000;0,587402344;0,359760486;0,466616981;0,384592157;0,477230668;0,547800154;0,489891718;0,534333875;0,099198163;0,183285356;0,099814991;0,124588817
10500;0,580258019;0,380628094;0,513491988;0,401437869;0,47180818;0,562328676;0,527138154;0,50352934;0,125822365;0,121145129;0,099780699;0,131373376
11000;0,526932567;0,444695719;0,540732943;0,41031687;0,477487668;0,576445997;0,515179555;0,523848683;0,100020558;0,171875;0,100157638;0,12890625
11500;0,547645979;0,432411589;0,556692027;0,419909028;0,539704971;0,522992045;0,533031801;0,512027144;0,09986636;0,138877481;0,099952022;0,142886519
12000;0,589792356;0,447779603;0,596011512;0,440956514;0,619654603;0,611122539;0,590837439;0,511273295;0,099609375;0,173211366;0,100157619;0,130242586
12500;0,620990954;0,365285777;0,598761305;0,426815637;0,595754512;0,56829083;0,564316064;0,5409471;0,100071937;0,170281649;0,100260417;0,12222451
13000;0,638491973;0,384996906;0,588610202;0,439054787;0,620862462;0,647238215;0,571306199;0,582442423;0,100277543;0,128238082;0,10043174;0,144120067
13500;0,604158104;0,349789269;0,627158724;0,433927842;0,59973786;0,619174888;0,642475327;0,587959141;0,100174755;0,148386091;0,100020548;0,154605269
14000;0,632118627;0,237176195;0,623612247;0,407650596;0,586400084;0,67225192;0,601219853;0,616467933;0,099814981;0,136307567;0,099472304;0,137695313
14500;0,674650498;0,250205591;0,649593957;0,431878343;0,585886098;0,581859916;0,585080872;0,657826205;0,099609375;0,125205606;0,099472304;0,153063327
15000;0,661261305;0,327585325;0,635844983;0,446687395;0,584344164;0,676980545;0,597176542;0,64610746;0,100174755;0,100534529;0,100089113;0,162057966
15500;0,684493214;0,410516046;0,623098273;0,46402781;0,673956618;0,637678186;0,556537827;0,698259314;0,100380361;0,132761091;0,100020568;0,138003707
16000;0,673699625;0,474480882;0,656506985;0,490838295;0,635639392;0,668482731;0,618935029;0,657072365;0,099712193;0,109066606;0,100191871;0,158665687
16500;0,630525284;0,475688741;0,701583061;0,489855315;0,654990755;0,665535907;0,657106638;0,628118148;0,09986636;0,123458058;0,09991775;0,151624173
17000;0,693847664;0,429970183;0,606650904;0,46287778;0,64424856;0,720154882;0,702542484;0,666152686;0,100226164;0,209549725;0,10005484;0,121042371
17500;0,713661596;0,399362661;0,664936259;0,480905632;0,673159957;0,719024122;0,69329084;0,652172416;0,100174755;0,133583486;0,099677901;0,14566201
18000;0,710552014;0,323910356;0,647512339;0,458990797;0,74043997;0,667249173;0,711588542;0,69418174;0,099814981;0,149054289;0,099780699;0,153988481
18500;0,720266245;0,40306332;0,620374184;0,47677452;0,685392678;0,67804276;0,715871712;0,716933936;0,100328952;0,112458855;0,098855535;0,163394332
19000;0,688605055;0,430895351;0,719392475;0,499119812;0,650981702;0,725260417;0,704495609;0,699287276;0,100174755;0,205078125;0,100020568;0,157586366
19500;0,704050168;0,421695106;0,670384459;0,487349659;0,656892479;0,70929276;0,719640906;0,727453396;0,10099712;0,284231097;0,099438051;0,153268904
20000;0,695749387;0,450529397;0,694413029;0,508615593;0,718415912;0,734614859;0,718578666;0,719263986;0,100071967;0,120579749;0,099986315;0,193770558
20500;0,734914679;0,33578331;0,713481702;0,479967625;0,68693462;0,737013434;0,69102934;0,733655433;0,099609375;0,143708885;0,100157619;0,135690808
21000;0,69122636;0,40193256;0,732576069;0,497744914;0,627158716;0,750034263;0,670435851;0,745751098;0,100020587;0,215871722;0,099746446;0,165244669
21500;0,768092107;0,434621714;0,69184313;0,5202444;0,711065993;0,748972043;0,699184487;0,696648846;0,099969149;0,191766024;0,099712173;0,186420649
22000;0,687294412;0,520405017;0,734709092;0,521195267;0,615439974;0,733552635;0,693941891;0,687842652;0,099660784;0,111996293;0,10029467;0,142372549
22500;0,692768298;0,468801394;0,732164882;0,513986684;0,690635279;0,785430372;0,706037561;0,709121441;0,099249601;0,171566635;0,100157619;0,162212163
23000;0,738641042;0,500102788;0,726074211;0,524317685;0,712659329;0,775390625;0,74602522;0,68352522;0,099969149;0,241724908;0,109340727;0,132452697
23500;0,749126233;0,475534543;0,746247947;0,539139597;0,695903577;0,751336346;0,753323739;0,71477522;0,100123346;0,287109375;0,099232455;0,185649663
24000;0,736199629;0,313322365;0,74247019;0,499691612;0,659693658;0,71402138;0,740234365;0,737904335;0,099712163;0,10490337;0,099677901;0,206774265
24500;0,710860398;0,368369654;0,73578845;0,498265318;0,748380963;0,728104432;0,735265896;0,755619526;0,09986636;0,196597457;0,099849244;0,178042769
25000;0,716488492;0,341282897;0,747712784;0,497526473;0,726254113;0,754625817;0,772101154;0,77388295;0,100277573;0,13060239;0,100089093;0,184621722
25500;0,70600329;0,503160983;0,687500004;0,506366935;0,725174755;0,744654606;0,737732997;0,758908992;0,100174755;0,127826899;0,099986295;0,128803462
26000;0,758583471;0,493086956;0,755730882;0,54079718;0,718158931;0,766413103;0,747498632;0,739274944;0,100585938;0,140830606;0,100466013;0,155787408
26500;0,738615334;0,574038848;0,753880553;0,563765677;0,734837581;0,753734921;0,745065793;0,731393923;0,099712193;0,145867616;0,099643628;0,188527972
27000;0,738512542;0,676834911;0,730211761;0,57623612;0,740491368;0,77696683;0,737321824;0,748595124;0,100277573;0,158305913;0,100226144;0,159385264
27500;0,761307564;0,602461971;0,73900082;0,579223639;0,727539055;0,781215732;0,698499178;0,76254112;0,099969178;0,158665717;0,099883517;0,214124203
